round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Rated 95,White,Subzero,Win,Checkmate,43.5,48,93.4,4.4,0.0,1.9,50.6,w-443d0d,2026-09-10T11:22:57.361199+00:00
Rated 94,Black,tal,Win,Checkmate,36.1,33,73.3,4.2,0.0,2.2,63.2,w-bf0e55,2026-09-10T10:25:16.359558+00:00
Rated 93,White,Brokefish,Win,Checkmate,36.7,66,119.5,4.2,0.0,1.8,33.5,w-ce5f0d,2026-09-10T09:29:58.737591+00:00
Rated 92,White,Team I Love Fortnite,Loss,Checkmate,36.6,41,86.1,4.3,0.0,2.1,54.4,w-4552ec,2026-09-10T08:24:56.872878+00:00
Rated 91,Black,Epoch & Mate,Win,Checkmate,36.0,56,103.6,4.2,0.0,1.9,44.4,w-4552ec,2026-09-10T07:30:49.764327+00:00
Rated 90,Black,Chessbuster 9000,Loss,Checkmate,34.4,59,109.3,4.1,0.0,1.9,40.2,w-460910,2026-09-09T21:25:20.71612+00:00
Rated 89,White,Team7347,Loss,Checkmate,37.5,54,105.8,4.3,0.0,2.0,41.2,w-4b43cf,2026-09-09T20:26:52.749934+00:00
Rated 88,Black,Prompt and Circumstance,Win,Checkmate,34.2,59,109.4,4.2,0.0,1.9,40.1,w-d5046c,2026-09-09T19:26:19.662355+00:00
Rated 87,White,Fork 72,Win,Checkmate,34.1,105,151.3,4.1,0.0,1.4,21.2,w-8d3742,2026-09-09T18:28:18.177182+00:00
Rated 86,Black,Zagreus 2.3.1,Draw,Threefold repetition,34.7,69,129.3,4.1,1.1,1.9,25.2,w-e59fd5,2026-09-09T17:26:50.765737+00:00
Rated 85,Black,Knight,Loss,Checkmate,37.4,37,78.5,4.4,0.0,2.1,60.0,w-103c48,2026-09-09T16:26:03.235177+00:00
Rated 84,White,Ablation,Draw,Threefold repetition,35.5,49,105.0,4.2,1.4,2.1,39.5,w-e04a3f,2026-09-09T15:25:08.005238+00:00
Rated 83,Black,404 Not Found,Loss,Checkmate,36.7,72,128.0,4.2,0.0,1.8,28.0,w-28cd1a,2026-09-09T14:24:19.089404+00:00
Rated 82,White,Team7347,Draw,Threefold repetition,37.2,37,86.8,4.2,1.7,2.3,51.7,w-4b43cf,2026-09-09T13:23:59.586311+00:00
Rated 81,White,Magnus CarlSON 😭,Win,Checkmate,37.4,47,92.8,4.3,0.0,2.0,50.7,w-382a7a,2026-09-09T12:25:51.890216+00:00
