# gate hand:1111 (new, /home/pino/projects/chessathon) vs hand:1111 (old, /tmp/chessathon-v7ref) games=24 move-ms=500 seed=11
  1. 1/2-1/2 ply=165 flags=[]
  2. 0-1    ply=168 flags=[]
  3. 1-0    ply= 79 flags=[]
  4. 0-1    ply= 96 flags=[]
  5. 1-0    ply=135 flags=[]
  6. 1-0    ply=149 flags=[]
  7. 1-0    ply=111 flags=[]
  8. 0-1    ply=128 flags=[]
  9. 0-1    ply=152 flags=[]
 10. 0-1    ply= 54 flags=[]
 11. 1-0    ply=151 flags=[]
 12. 0-1    ply=106 flags=[]
 13. 1-0    ply=125 flags=[]
 14. 1-0    ply=177 flags=[]
 15. 1-0    ply=131 flags=[]
 16. 0-1    ply=124 flags=[]
 17. 0-1    ply=182 flags=[]
 18. 1-0    ply= 97 flags=[]
 19. 1-0    ply=153 flags=[]
 20. 1-0    ply=141 flags=[]
 21. 1-0    ply=111 flags=[]
 22. 0-1    ply=116 flags=[]
 23. 0-1    ply= 60 flags=[]
 24. 1/2-1/2 ply=172 flags=[]
score: 15W-7L-2D (0.667)
