=== r105 #42 pre-blunder, our engine | FEN 6k1/5ppp/p7/3P4/6P1/4q2P/5Q2/6K1 b - - 0 47
budget_ms,rep,uci,score,depth,nodes,elapsed_ms
1000,1,e3h3,184,10,567296,1001
1000,2,e3h3,184,10,620544,1002
1000,3,e3h3,184,10,590848,1001
1350,1,e3h3,184,10,834560,1352
1350,2,e3h3,184,10,880640,1351
1350,3,e3h3,184,10,827392,1351
2000,1,e3h3,184,10,1184768,2004
2000,2,e3h3,184,10,1180672,2001
2000,3,e3h3,184,10,1262592,2001
3000,1,e3h3,176,11,1808384,3003
3000,2,e3h3,176,11,1627136,3002
3000,3,e3h3,176,11,1463296,3001
5000,1,e3h3,162,12,2856960,5001
5000,2,e3h3,162,12,2753536,5002
5000,3,e3h3,162,12,2840576,5001
PART2-DONE
