=== r105 SF review | 160 plies | ours Black ===
ply  eval(us)   mover
   0     -31   op
   1     -34   US
   2      -1   op
   3     -10   US
   4     -13   op
   5     -51   US
   6      +0   op
   7     -26   US
   8     -23   op
   9     -30   US
  10     -34   op
  11     -53   US
  12     -48   op
  13     -66   US
  14     +14   op
  15     +16   US
  16     +13   op
  17     +12   US
  18      +2   op
  19      +0   US
  20     +34   op
  21     +28   US
  22     +88   op
  23     +49   US
  24     +91   op
  25     +39   US
  26     +49   op
  27     +13   US
  28     +23   op
  29      +7   US
  30     +32   op
  31     +19   US
  32     +73   op
  33     +78   US
  34     +74   op
  35     +75   US
  36    +114   op
  37    +111   US
  38    +113   op
  39      -3   US
  40      -8   op
  41      +0   US
  42     +62   op
  43     +57   US
  44     +69   op
  45     +54   US
  46     +85   op
  47     +34   US
  48     +36   op
  49     +33   US
  50     +94   op
  51     +94   US
  52    +149   op
  53    +161   US
  54    +155   op
  55     +85   US
  56    +146   op
  57    +127   US
  58    +128   op
  59    +115   US
  60    +123   op
  61    +140   US
  62    +122   op
  63     +29   US
  64    +327   op
  65     +73   US  <<< drop -254
  66     +87   op
  67     +52   US
  68    +234   op
  69    +239   US
  70    +373   op
  71    +183   US  <<< drop -190
  72    +266   op
  73    +285   US
  74    +408   op
  75    +363   US
  76    +591   op
  77    +557   US
  78    +586   op
  79    +579   US
  80    +585   op
  81    +565   US
  82    +557   op
  83    +106   US  <<< drop -451
  84    +102   op
  85      +0   US
  86      +0   op
  87      +0   US
  88      +0   op
  89      +0   US
  90      -1   op
  91     -81   US
  92    -105   op
  93    -220   US
  94    -483   op
  95    -440   US
  96    -464   op
  97    -490   US
  98    -535   op
  99    -536   US
 100    -541   op
 101    -543   US
 102    -526   op
 103    -549   US
 104    -531   op
 105    -527   US
 106    -532   op
 107    -532   US
 108    -530   op
 109    -520   US
 110    -510   op
 111    -471   US
 112    -557   op
 113    -579   US
 114    -575   op
 115    -539   US
 116    -583   op
 117    -567   US
 118    -563   op
 119    -583   US
 120    -572   op
 121    -574   US
 122    -558   op
 123    -585   US
 124    -625   op
 125    -621   US
 126    -588   op
 127    -625   US
 128    -605   op
 129    -634   US
 130    -641   op
 131    -641   US
 132    -607   op
 133    -644   US
 134    -575   op
 135    -681   US
 136    -663   op
 137    -771   US
 138    -800   op
 139   -1034   US  <<< drop -234
 140    -920   op
 141   -1012   US
 142    -836   op
 143    -774   US
 144    -756   op
 145    -741   US
 146    -730   op
 147    -752   US
 148    -696   op
 149    -783   US
 150    -756   op
 151    -832   US
 152   -9994   op
 153   -9994   US
 154   -9995   op
 155   -9995   US
 156    -773   op
 157   -9998   US  <<< drop -9225
 158   -9999   op
 159   -9999   US
 160  -10000   op

peak for us: +591 at ply 76; trough: -10000 at ply 160
final eval: -10000

entry points into <=-1.3:
  ply93 first-fall: d10 -220 -> d16 -654  (FEN 6k1/2Q2p1p/p2P2p1/4q3/6P1/8/5K2/8 w - - 1 53)
R105-REVIEW-DONE
