site,budget_ms,rep,uci,score,depth,nodes,elapsed_ms,game_flag
r92-m35,800,1,e5d3,59,6,409600,801,
r92-m35,800,2,e5d3,59,6,402432,800,
r92-m35,800,3,e5d3,59,6,435200,801,
r92-m35,1200,1,e5d3,59,6,635904,1201,
r92-m35,1200,2,e5d3,59,6,627712,1202,
r92-m35,1200,3,e5d3,59,6,593920,1202,
r92-m35,1600,1,d5b3,48,7,823296,1601,GAME
r92-m35,1600,2,d5b3,48,7,864256,1601,GAME
r92-m35,1600,3,d5b3,48,7,703488,1604,GAME
r92-m35,2000,1,d5b3,48,7,911360,2002,GAME
r92-m35,2000,2,d5b3,48,7,917504,2002,GAME
r92-m35,2000,3,d5b3,48,7,917504,2001,GAME
r92-m35,2500,1,d5b3,48,7,1144832,2500,GAME
r92-m35,2500,2,d5b3,48,7,1165312,2501,GAME
r92-m35,2500,3,d5b3,48,7,1093632,2501,GAME
r92-m35,3000,1,d5b3,48,7,1233920,3001,GAME
r92-m35,3000,2,d5b3,48,7,1305600,3003,GAME
r92-m35,3000,3,d5b3,48,7,1256448,3001,GAME
r92-m35,4000,1,e5d3,7,8,1652736,4001,
r92-m35,4000,2,e5d3,7,8,1671168,4001,
r92-m35,4000,3,e5d3,7,8,1680384,4003,
r92-m35,6000,1,e5d3,7,8,2562048,6000,
r92-m35,6000,2,e5d3,7,8,2600960,6003,
r92-m35,6000,3,e5d3,7,8,2791424,6000,
r92-m36,800,1,d4b2,79,6,348160,802,
r92-m36,800,2,d4b2,79,6,436224,802,
r92-m36,800,3,d4b2,79,6,402432,800,
r92-m36,1200,1,d4b2,75,7,603136,1201,
r92-m36,1200,2,d4b2,75,7,611328,1202,
r92-m36,1200,3,d4b2,75,7,642048,1202,
r92-m36,1600,1,d4b2,75,7,754688,1604,
r92-m36,1600,2,d4b2,75,7,786432,1600,
r92-m36,1600,3,d4b2,75,7,852992,1601,
r92-m36,2000,1,d4b2,75,7,1046528,2000,
r92-m36,2000,2,d4b2,75,7,1007616,2001,
r92-m36,2000,3,d4b2,75,7,1022976,2000,
r92-m36,2500,1,d4b2,75,7,1045504,2500,
r92-m36,2500,2,g3h2,64,8,1161216,2502,
r92-m36,2500,3,g3h2,64,8,1121280,2504,
r92-m36,3000,1,g3h2,64,8,1419264,3002,
r92-m36,3000,2,g3h2,64,8,1395712,3000,
r92-m36,3000,3,g3h2,64,8,1349632,3001,
r92-m36,4000,1,g3h2,64,8,1930240,4000,
r92-m36,4000,2,g3h2,64,8,2000896,4001,
r92-m36,4000,3,g3h2,64,8,1882112,4002,
r92-m36,6000,1,d4b2,41,9,2688000,6001,
r92-m36,6000,2,d4b2,41,9,2665472,6000,
r92-m36,6000,3,d4b2,41,9,2725888,6001,
r100-m49,800,1,g4f5,-53,10,510976,801,
r100-m49,800,2,g4f5,-53,10,493568,801,
r100-m49,800,3,g4f5,-53,10,472064,801,
r100-m49,1200,1,b8b6,-31,11,748544,1201,GAME
r100-m49,1200,2,b8b6,-31,11,764928,1204,GAME
